file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",cellData,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",message,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",excelContentProperty,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",cause,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",rowIndex,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",columnIndex,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",cellData,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",message,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"parseObject/2[java.lang.String,java.text.ParsePosition]",pos,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"parseObject/2[java.lang.String,java.text.ParsePosition]",source,1
